,make,type,year,engine,mileage,price_in_azn
13427,JAC, JS3,2022,1.6,0.0,29500.0
13428,Nissan, Tiida,2012,1.5,38000.0,14600.0
13429,Kia, Sportage,2023,1.6,0.0,54000.0
13430,BMW, 520,2023,2.0,0.0,112200.0
13431,Kia, Sorento,2010,2.0,158000.0,29500.0
13432,Toyota, Land Cruiser,2019,4.0,116000.0,116790.0
13433,Hyundai, ix55,2012,3.0,231000.0,36500.0
13434,Kia, Carens,2008,2.0,193000.0,17000.0
13435,Nissan, Juke,2014,1.6,132000.0,23700.0
13436,Kia, Optima,2013,2.0,143000.0,22850.0
13437,Volkswagen, Touareg,2009,4.2,141000.0,25500.0
13438,Chevrolet, Cruze,2012,1.8,198000.0,15000.0
13439,KamAz, 65117,1987,11.0,150000.0,21000.0
13440,Hyundai, Elantra,2014,1.6,122000.0,25500.0
13441,Toyota, Corolla,2009,1.4,182000.0,18200.0
13442,Opel, Astra,2001,1.6,386000.0,9500.0
13443,Nissan, Tiida,2011,1.5,65000.0,13900.0
13444,Daewoo, Espero,1997,1.8,320000.0,1000.0
13445,Mercedes, GLE 53 AMG Coupe,2022,3.0,4800.0,229330.0
13446,HOWO, A7,2012,9.8,397119.0,58000.0
13447,Kia, Sportage,2022,2.0,9500.0,46800.0
13448,Toyota, Prado,2004,2.7,260000.0,25500.0
13449,Hyundai, Santa Fe,2016,2.0,146453.0,33500.0
13450,Kia, Sportage,2011,2.0,179846.0,26900.0
13451,LADA, (VAZ) 2106,2000,1.5,28823.0,5500.0
13452,Hyundai, Santa Fe,2016,2.4,60000.0,35000.0
13453,GAZ, 31105,2008,2.3,160000.0,8000.0
13454,Volkswagen, Passat,2002,1.8,347746.0,6300.0
13455,LADA, (VAZ) 2106,1989,1.5,43000.0,3700.0
13456,Land, Rover Defender,2023,3.0,0.0,277100.0
13457,Opel, Astra,1999,1.6,412000.0,8900.0
13458,Kia, Sorento,2010,2.0,178300.0,28300.0
13459,Mercedes, C 180,2000,1.8,232000.0,13500.0
13460,Hyundai, Accent,2021,1.6,38000.0,27800.0
13461,Nissan, X-Trail,2012,2.5,169000.0,23000.0
13462,GAZ, 24,1983,2.4,110400.0,11200.0
13463,Volkswagen, Passat,2010,1.8,236000.0,8900.0
13464,Subaru, Forester,2022,2.5,0.0,69530.0
13465,Hyundai, Elantra,2023,2.0,0.0,45900.0
13466,BMW, iX,2022,0.0,0.0,151300.0
13467,Nissan, Note,2013,1.2,33145.0,14500.0
13468,Chevrolet, Aveo,2012,1.4,252321.0,11500.0
13469,BMW, X7,2023,3.0,0.0,254150.0
13470,Hyundai, Santa Cruz,2021,2.5,10100.0,75650.0
13471,Fiat, Doblo,2014,1.3,236141.0,16300.0
13472,Volkswagen, Passat,2003,1.8,393059.0,8600.0
13473,Hyundai, Tucson,2009,2.0,85000.0,17300.0
13474,Toyota, Prado,2014,2.7,159500.0,49298.299999999996
13475,BMW, X5 M,2005,4.4,71500.0,34000.0
13476,Harley,-Davidson XR1200X,2021,1.2,7000.0,21250.0
13477,Opel, Astra,2006,1.3,194532.0,11200.0
